slug_fr,slug_en,url_fr,url_en
"search","search","https://www.nestore.com/search","https://www.nestore.com/en/search"
"blog","blog","https://www.nestore.com/blog","https://www.nestore.com/en/blog"
"guide","guidelines-pop-up-shops","https://www.nestore.com/guide","https://www.nestore.com/en/guidelines-pop-up-shops"
"tags","tags","https://www.nestore.com/tags","https://www.nestore.com/en/tags"
"boutiques","popup-shops","https://www.nestore.com/boutiques","https://www.nestore.com/en/popup-shops"
"qui-sommes-nous","who-are-we","https://www.nestore.com/qui-sommes-nous","https://www.nestore.com/en/who-are-we"
"references","pop-up-stores-references","https://www.nestore.com/references","https://www.nestore.com/en/pop-up-stores-references"
"contact","contact","https://www.nestore.com/contact","https://www.nestore.com/en/contact"
"metier","retail-expert","https://www.nestore.com/metier","https://www.nestore.com/en/retail-expert"
"contact-demande-envoyee","contact-request-send","https://www.nestore.com/contact-demande-envoyee","https://www.nestore.com/en/contact-request-send"
"estimation-performance-pop-up-store","pop-up-store-performance-estimation","https://www.nestore.com/estimation-performance-pop-up-store","https://www.nestore.com/en/pop-up-store-performance-estimation"
"plan-du-site","plan-du-site","https://www.nestore.com/plan-du-site","https://www.nestore.com/en/plan-du-site"
"quartiers/marais","neighborhoods/marais","https://www.nestore.com/quartiers/marais","https://www.nestore.com/en/neighborhoods/marais"
"quartiers/saint-germain","neighborhoods/saint-germain","https://www.nestore.com/quartiers/saint-germain","https://www.nestore.com/en/neighborhoods/saint-germain"
"quartiers/montmartre","neighborhoods/montmartre","https://www.nestore.com/quartiers/montmartre","https://www.nestore.com/en/neighborhoods/montmartre"
"quartiers/palais-royal","quartiers/palais-royal","https://www.nestore.com/quartiers/palais-royal","https://www.nestore.com/en/quartiers/palais-royal"
"quartiers/showrooms","showrooms","https://www.nestore.com/quartiers/showrooms","https://www.nestore.com/en/showrooms"
"villes/lille","french-cities/lille","https://www.nestore.com/villes/lille","https://www.nestore.com/en/french-cities/lille"
"villes/lyon","french-cities/lyon","https://www.nestore.com/villes/lyon","https://www.nestore.com/en/french-cities/lyon"
"villes/marseille","french-cities/marseille","https://www.nestore.com/villes/marseille","https://www.nestore.com/en/french-cities/marseille"
"villes/nantes","french-cities/nantes","https://www.nestore.com/villes/nantes","https://www.nestore.com/en/french-cities/nantes"
"villes/bordeaux","french-cities/bordeaux","https://www.nestore.com/villes/bordeaux","https://www.nestore.com/en/french-cities/bordeaux"
"contact-proprietaires","contact-proprietaires","https://www.nestore.com/contact-proprietaires","https://www.nestore.com/en/contact-proprietaires"
"quartiers/canal-saint-martin","neighborhoods/canal-saint-martin","https://www.nestore.com/quartiers/canal-saint-martin","https://www.nestore.com/en/neighborhoods/canal-saint-martin"
"tag/digitalisation-omnicanalite","tag/digitalisation-and-omnichannel","https://www.nestore.com/tag/digitalisation-omnicanalite","https://www.nestore.com/en/tag/digitalisation-and-omnichannel"
"tag/dnvb","tag/dnvb","https://www.nestore.com/tag/dnvb","https://www.nestore.com/en/tag/dnvb"
"tag/experience-client","tag/customer-experience","https://www.nestore.com/tag/experience-client","https://www.nestore.com/en/tag/customer-experience"
"tag/pop-up-store-point-de-vente","tag/pop-up-store-and-retail-space","https://www.nestore.com/tag/pop-up-store-point-de-vente","https://www.nestore.com/en/tag/pop-up-store-and-retail-space"
"tag/responsabilite-et-impact","tag/sustainability-and-brand-impact","https://www.nestore.com/tag/responsabilite-et-impact","https://www.nestore.com/en/tag/sustainability-and-brand-impact"
"tag/technologie-data","tag/technology-and-data","https://www.nestore.com/tag/technologie-data","https://www.nestore.com/en/tag/technology-and-data"
"post/acheter-un-local-commercial-pour-le-louer-guide-2025","post/acheter-un-local-commercial-pour-le-louer-guide-2025","https://www.nestore.com/post/acheter-un-local-commercial-pour-le-louer-guide-2025","https://www.nestore.com/en/post/acheter-un-local-commercial-pour-le-louer-guide-2025"
"post/amenager-magasin-ecoresponsable","post/design-eco-friendly-store","https://www.nestore.com/post/amenager-magasin-ecoresponsable","https://www.nestore.com/en/post/design-eco-friendly-store"
"post/black-friday-entre-promos-et-appels-au-boycott","post/black-friday-deals-vs-boycotts","https://www.nestore.com/post/black-friday-entre-promos-et-appels-au-boycott","https://www.nestore.com/en/post/black-friday-deals-vs-boycotts"
"post/cafes-pop-up-store-des-marques-de-luxe","post/luxury-brands-pop-up-cafes","https://www.nestore.com/post/cafes-pop-up-store-des-marques-de-luxe","https://www.nestore.com/en/post/luxury-brands-pop-up-cafes"
"post/carrefour-pop-up-store-bruxelles","post/carrefour-pop-up-store-bruxelles","https://www.nestore.com/post/carrefour-pop-up-store-bruxelles","https://www.nestore.com/en/post/carrefour-pop-up-store-bruxelles"
"post/clients-mysteres","post/mystery-shoppers-retail-experience","https://www.nestore.com/post/clients-mysteres","https://www.nestore.com/en/post/mystery-shoppers-retail-experience"
"post/collecter-des-donnees-client-en-magasin","post/how-to-collect-customer-data-in-store","https://www.nestore.com/post/collecter-des-donnees-client-en-magasin","https://www.nestore.com/en/post/how-to-collect-customer-data-in-store"
"post/comment-choisir-son-emplacement-commercial","post/chow-to-choose-your-retail-location","https://www.nestore.com/post/comment-choisir-son-emplacement-commercial","https://www.nestore.com/en/post/chow-to-choose-your-retail-location"
"post/comment-communiquer-sur-son-magasin-ou-son-pop-up-store","guidelines-pop-up-shops/steps-successful-pop-up-store","https://www.nestore.com/post/comment-communiquer-sur-son-magasin-ou-son-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/steps-successful-pop-up-store"
